Proj	DSO	DDO	UOffset	VOffset	Pivot	dTeta
135.68846	57.43740	139.75820	27.39469	-75.60680	0.31411	-1.07887
136.18915	57.43659	139.75888	27.45407	-75.58279	0.31084	-1.09943
136.68985	57.43548	139.75961	27.44972	-75.57550	0.31721	-1.10649
137.19054	57.43405	139.75923	27.50009	-75.55101	0.31392	-1.12746
137.69124	57.43271	139.75964	27.49384	-75.54313	0.32041	-1.13452
138.19193	57.43064	139.75833	27.53922	-75.51597	0.31714	-1.15484
138.69263	57.42916	139.75851	27.53278	-75.50665	0.32377	-1.16135
139.19332	57.42703	139.75708	27.57665	-75.47302	0.32055	-1.17915
139.69402	57.42564	139.75750	27.57028	-75.46081	0.32733	-1.18456
140.19471	57.42393	139.75712	27.61316	-75.41810	0.32416	-1.19903
140.69541	57.42267	139.75791	27.60744	-75.40294	0.33105	-1.20342
141.19611	57.42133	139.75821	27.65081	-75.35235	0.32782	-1.21547
141.69680	57.42017	139.75908	27.64585	-75.33482	0.33479	-1.21921
142.19750	57.41893	139.75923	27.68952	-75.27788	0.33137	-1.22959
142.69819	57.41772	139.75997	27.68510	-75.25861	0.33837	-1.23289
143.19889	57.41627	139.75977	27.72700	-75.19809	0.33464	-1.24240
143.69958	57.41497	139.76043	27.72198	-75.17828	0.34161	-1.24560
144.20028	57.41333	139.75995	27.75965	-75.11831	0.33744	-1.25558
144.70097	57.41199	139.76046	27.75369	-75.09955	0.34437	-1.25922
145.20167	57.41032	139.75935	27.78576	-75.04294	0.33984	-1.27046
145.70236	57.40899	139.75966	27.77799	-75.02493	0.34679	-1.27436
146.20306	57.40749	139.75813	27.80115	-74.96841	0.34210	-1.28574
146.70376	57.40624	139.75845	27.79057	-74.94965	0.34913	-1.28946
147.20445	57.40502	139.75736	27.80439	-74.88949	0.34441	-1.29999
147.70515	57.40384	139.75788	27.79180	-74.86909	0.35155	-1.30336
148.20584	57.40261	139.75684	27.79903	-74.80310	0.34688	-1.31257
148.70654	57.40134	139.75717	27.78532	-74.78052	0.35414	-1.31541
149.20723	57.39970	139.75562	27.78848	-74.70788	0.34965	-1.32282
149.70793	57.39823	139.75586	27.77442	-74.68294	0.35710	-1.32492
150.20862	57.39592	139.75420	27.77598	-74.60265	0.35283	-1.32986
150.70932	57.39424	139.75451	27.76260	-74.57484	0.36043	-1.33101
151.21001	57.39160	139.75333	27.76560	-74.48527	0.35626	-1.33302
151.71071	57.38992	139.75389	27.75374	-74.45410	0.36396	-1.33320
152.21140	57.38757	139.75361	27.75940	-74.35440	0.35979	-1.33256
152.71210	57.38606	139.75459	27.74905	-74.31988	0.36758	-1.33194
153.21280	57.38435	139.75583	27.75668	-74.21186	0.36341	-1.32962
153.71349	57.38304	139.75729	27.74749	-74.17542	0.37128	-1.32878
154.21419	57.38161	139.75920	27.75695	-74.06467	0.36709	-1.32670
154.71488	57.38024	139.76060	27.74919	-74.02836	0.37500	-1.32622
155.21558	57.37854	139.76207	27.76114	-73.91932	0.37060	-1.32540
155.71627	57.37711	139.76336	27.75485	-73.88373	0.37848	-1.32533
156.21697	57.37545	139.76491	27.76890	-73.77627	0.37370	-1.32557
156.71766	57.37413	139.76640	27.76416	-73.74106	0.38154	-1.32582
157.21836	57.37305	139.76870	27.78252	-73.63441	0.37649	-1.32697
157.71905	57.37195	139.77044	27.78034	-73.59938	0.38434	-1.32753
158.21975	57.37135	139.77298	27.80344	-73.49265	0.37921	-1.32948
158.72045	57.37031	139.77456	27.80319	-73.45729	0.38714	-1.33019
159.22114	57.36960	139.77615	27.82887	-73.34880	0.38210	-1.33219
159.72184	57.36844	139.77733	27.82951	-73.31257	0.39015	-1.33274
160.22253	57.36722	139.77778	27.85283	-73.20105	0.38529	-1.33363
160.72323	57.36583	139.77860	27.85237	-73.16375	0.39347	-1.33364
161.22392	57.36375	139.77789	27.86950	-73.04929	0.38879	-1.33280
161.72462	57.36202	139.77830	27.86764	-73.01112	0.39709	-1.33221
162.22531	57.35898	139.77649	27.87882	-72.89468	0.39256	-1.32981
162.72601	57.35699	139.77663	27.87550	-72.85619	0.40095	-1.32883
163.22670	57.35362	139.77478	27.87937	-72.74007	0.39647	-1.32582
163.72740	57.35165	139.77516	27.87392	-72.70210	0.40491	-1.32482
164.22809	57.34842	139.77394	27.86766	-72.58826	0.40035	-1.32196
164.72879	57.34646	139.77442	27.85874	-72.55124	0.40880	-1.32102
165.22949	57.34309	139.77313	27.83807	-72.44007	0.40413	-1.31830
